date,average_tmin
2018-07-29,24.620055198669434
2018-07-30,24.17267672220866
2018-07-31,23.794562339782715
2018-08-01,23.616708755493164
2018-08-02,24.394057512283325
2018-08-03,24.614161888758343
2018-08-04,25.077249844868977
2018-08-05,25.25497802098592
2018-08-06,24.72170654932658
2018-08-07,24.52552890777588
2018-08-08,24.915250221888225
2018-08-09,25.54531979560852
2018-08-10,26.112615982691448
2018-08-11,26.09054907162984
2018-08-12,25.284554322560627
2018-08-13,25.105854511260986
2018-08-14,25.384244124094646
2018-08-15,25.858723084131878
2018-08-16,25.28785729408264
2018-08-17,26.210628747940063
2018-08-18,26.418486833572388
2018-08-19,26.181281089782715
2018-08-20,25.33594338099162
2018-08-21,25.525623083114624
2018-08-22,25.860625982284546
2018-08-23,25.184519688288372
2018-08-24,24.91051483154297
2018-08-25,24.347588857014973
2018-08-26,24.387481451034546
2018-08-27,25.091078758239746
2018-08-28,25.558958212534588
2018-08-29,25.218530019124348
2018-08-30,25.055516401926678
2018-08-31,24.572314023971558
2018-09-01,24.147663831710815
2018-09-02,24.325860579808552
2018-09-03,24.053362131118774
2018-09-04,24.092325766881306
2018-09-05,24.21684964497884
2018-09-06,24.421055634816486
2018-09-07,24.086721499760944
2018-09-08,24.032512346903484
2018-09-09,23.55375560124715
2018-09-10,23.61244289080302
2018-09-11,24.07788149515788
2018-09-12,24.152957836786907
2018-09-13,23.6953387260437
2018-09-14,23.572601318359375
2018-09-15,23.92409086227417
2018-09-16,23.811895211537678
2018-09-17,23.759508848190308
2018-09-18,23.508518934249878
2018-09-19,23.306654930114746
2018-09-20,23.455802122751873
2018-09-21,23.715692281723022
2018-09-22,23.185858567555744
2018-09-23,23.280609607696533
2018-09-24,23.475970188776653
2018-09-25,22.86170729001363
2018-09-26,22.72133231163025
2018-09-27,22.985076427459717
2018-09-28,22.81829317410787
2018-09-29,22.080264886220295
2018-09-30,21.560891548792522
2018-10-01,21.36879014968872
2018-10-02,21.411436398824055
2018-10-03,21.436604499816895
2018-10-04,21.85587731997172
2018-10-05,21.50755516688029
2018-10-06,20.983966668446858
2018-10-07,20.259984572728474
2018-10-08,19.798552354176838
2018-10-09,19.9242418607076
2018-10-10,20.729028860727947
2018-10-11,20.91323693593343
2018-10-12,19.4332994222641
2018-10-13,19.061068654060364
2018-10-14,17.873631358146667
2018-10-15,16.90842334429423
2018-10-16,17.400914589564007
2018-10-17,18.160218079884846
2018-10-18,18.39198402563731
2018-10-19,18.219115416208904
2018-10-20,18.089420398076374
2018-10-21,18.102508346239727
2018-10-22,17.235947092374165
2018-10-23,15.69600741068522
2018-10-24,15.035385211308798
2018-10-25,15.461008906364441
2018-10-26,15.73036285241445
2018-10-27,15.597490270932516
2018-10-28,15.818016091982523
2018-10-29,15.456576506296793
2018-10-30,15.698782761891684
2018-10-31,16.45235200723012
2018-11-01,16.503732562065125
2018-11-02,16.591171145439148
2018-11-03,17.108210841814678
2018-11-04,17.556639909744263
2018-11-05,16.082200090090435
2018-11-06,14.590357263882956
2018-11-07,11.883160750071207
2018-11-08,11.449949304262796
2018-11-09,11.699971199035645
2018-11-10,12.313489119211832
2018-11-11,12.854791045188904
2018-11-12,13.32594096660614
2018-11-13,14.222055435180664
2018-11-14,15.416167060534159
2018-11-15,14.858088731765747
2018-11-16,14.491774201393127
2018-11-17,12.188271601994833
2018-11-18,11.60992674032847
2018-11-19,13.2064901192983
2018-11-20,13.042081991831461
2018-11-21,12.992727438608805
2018-11-22,12.010947187741598
2018-11-23,12.26862613360087
2018-11-24,11.93195915222168
2018-11-25,11.189411282539368
2018-11-26,11.212660551071167
2018-11-27,11.637938221295675
2018-11-28,13.095987955729166
2018-11-29,12.415099859237671
2018-11-30,12.257676800092062
2018-12-01,11.263348579406738
